date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-11-18,sh.600000,4.5087365000,4.5291534200,4.4406801000,4.4883195800,4.4679026600,51868061,683851034.0000,2,0.451849,1,0.457000,0
2010-11-19,sh.600000,4.5053336800,4.5121393200,4.3760265200,4.4644998400,4.4883195800,80225581,1047077141.0000,2,0.698886,1,-0.530700,0
2010-11-22,sh.600000,4.3896378000,4.4338744600,4.3556096000,4.3794293400,4.4644998400,81871304,1055428706.0000,2,0.713223,1,-1.905500,0
2010-11-23,sh.600000,4.3658180600,4.3658180600,4.2603306400,4.3079701200,4.3794293400,82534428,1044622800.0000,2,0.719000,1,-1.631700,0
2010-11-24,sh.600000,4.3045673000,4.3964434400,4.3011644800,4.3522067800,4.3079701200,59367417,759510255.0000,2,0.517180,1,1.026900,0
2010-11-25,sh.600000,4.3896378000,4.4474857400,4.3181785800,4.4236660000,4.3522067800,85551206,1103140782.0000,2,0.745281,1,1.641900,0
2010-11-26,sh.600000,4.4542913800,4.4917224000,4.3930406200,4.4372772800,4.4236660000,72170185,941692413.0000,2,0.628712,1,0.307700,0
2010-11-29,sh.600000,4.4134575400,4.4406801000,4.3692208800,4.4100547200,4.4372772800,44456207,574483829.0000,2,0.387281,1,-0.613500,0
2010-11-30,sh.600000,4.3964434400,4.4168603600,4.2637334600,4.3181785800,4.4100547200,70465506,896825469.0000,2,0.613861,1,-2.083300,0
2010-12-01,sh.600000,4.3079701200,4.3624152400,4.2943588400,4.3351926800,4.3181785800,31699307,403667347.0000,2,0.276149,1,0.394000,0
2010-12-02,sh.600000,4.4066519000,4.4134575400,4.3385955000,4.3522067800,4.3351926800,46735608,601006327.0000,2,0.407138,1,0.392500,0
2010-12-03,sh.600000,4.3590124200,4.3862349800,4.3317898600,4.3624152400,4.3522067800,33562275,430350135.0000,2,0.292378,1,0.234600,0
2010-12-06,sh.600000,4.3794293400,4.4644998400,4.3590124200,4.4406801000,4.3624152400,67233922,873902630.0000,2,0.585709,1,1.794100,0
2010-12-07,sh.600000,4.4236660000,4.4610970200,4.3794293400,4.4440829200,4.4406801000,50371023,653787569.0000,2,0.438808,1,0.076600,0
2010-12-08,sh.600000,4.4372772800,4.4474857400,4.3794293400,4.3930406200,4.4440829200,46375216,600882768.0000,2,0.403998,1,-1.148500,0
2010-12-09,sh.600000,4.3726237000,4.3760265200,4.3147757600,4.3215814000,4.3930406200,50052445,638381476.0000,2,0.436033,1,-1.626600,0
2010-12-10,sh.600000,4.3011644800,4.3726237000,4.2977616600,4.3488039600,4.3215814000,33921914,431884199.0000,2,0.295511,1,0.629900,0
2010-12-13,sh.600000,4.3658180600,4.4338744600,4.3317898600,4.4236660000,4.3488039600,83881971,1078465179.0000,2,0.730739,1,1.721400,0
2010-12-14,sh.600000,4.4236660000,4.4542913800,4.3828321600,4.4066519000,4.4236660000,54829480,711605411.0000,2,0.477648,1,-0.384600,0
2010-12-15,sh.600000,4.4100547200,4.4474857400,4.3930406200,4.4032490800,4.4066519000,72040472,935727298.0000,2,0.627582,1,-0.077200,0
2010-12-16,sh.600000,4.3998462600,4.4032490800,4.3317898600,4.3522067800,4.4032490800,60753484,779685337.0000,2,0.529255,1,-1.159200,0
2010-12-17,sh.600000,4.3488039600,4.3488039600,4.3079701200,4.3283870400,4.3522067800,57386953,728978376.0000,2,0.499927,1,-0.547300,0
2010-12-20,sh.600000,4.3351926800,4.3385955000,4.1888714200,4.2297052600,4.3283870400,91831797,1147808499.0000,2,0.799994,1,-2.279900,0
2010-12-21,sh.600000,4.2365109000,4.3794293400,4.2024827000,4.3522067800,4.2297052600,97255977,1230271064.0000,2,0.847247,1,2.896200,0
2010-12-22,sh.600000,4.3488039600,4.3726237000,4.2535250000,4.2671362800,4.3522067800,58037506,734623647.0000,2,0.505595,1,-1.954700,0
2010-12-23,sh.600000,4.2773447400,4.4270688200,4.2467193600,4.3215814000,4.2671362800,85513637,1090345542.0000,2,0.744953,1,1.275900,0
2010-12-24,sh.600000,4.2875532000,4.3794293400,4.2637334600,4.3351926800,4.3215814000,61330576,782233351.0000,2,0.534282,1,0.315000,0
2010-12-27,sh.600000,4.3930406200,4.4168603600,4.2467193600,4.2569278200,4.3351926800,62916617,800835219.0000,2,0.548099,1,-1.805300,0
2010-12-28,sh.600000,4.2535250000,4.3147757600,4.2058855200,4.2126911600,4.2569278200,50643978,634014688.0000,2,0.441186,1,-1.039200,0
2010-12-29,sh.600000,4.2263024400,4.2569278200,4.1854686000,4.2160939800,4.2126911600,43781538,541086518.0000,2,0.381404,1,0.080800,0
2010-12-30,sh.600000,4.2194968000,4.2433165400,4.1480375800,4.1888714200,4.2160939800,49486273,609301305.0000,2,0.431100,1,-0.645700,0
2010-12-31,sh.600000,4.1956770600,4.2194968000,4.1684545000,4.2160939800,4.1888714200,70100841,863181172.0000,2,0.610685,1,0.649900,0
2011-01-04,sh.600000,4.2263024400,4.3147757600,4.1854686000,4.2909560200,4.2160939800,104301454,1307174907.0000,2,0.908624,1,1.775600,0
2011-01-05,sh.600000,4.3215814000,4.3930406200,4.2977616600,4.3249842200,4.2909560200,107014161,1367751457.0000,2,0.932255,1,0.793000,0
2011-01-06,sh.600000,4.3317898600,4.3862349800,4.2875532000,4.3113729400,4.3249842200,63954083,814451688.0000,2,0.557137,1,-0.314700,0
2011-01-07,sh.600000,4.3181785800,4.5972098200,4.2807475600,4.5019308600,4.3113729400,278797594,3673752810.0000,2,2.428749,1,4.419900,0
2011-01-10,sh.600000,4.4610970200,4.5393618800,4.3998462600,4.4474857400,4.5019308600,128007500,1679801972.0000,2,1.115139,1,-1.209400,0
2011-01-11,sh.600000,4.4236660000,4.5665844400,4.4236660000,4.5597788000,4.4474857400,114502560,1518387987.0000,2,0.997491,1,2.524900,0
2011-01-12,sh.600000,4.5733900800,4.5938070000,4.4951252200,4.5904041800,4.5597788000,103066730,1380549766.0000,2,0.897867,1,0.671600,0
2011-01-13,sh.600000,4.5904041800,4.6108211000,4.5359590600,4.5393618800,4.5904041800,55412160,743119674.0000,2,0.482724,1,-1.111900,0
2011-01-14,sh.600000,4.5223477800,4.5223477800,4.4474857400,4.4713054800,4.5393618800,58900525,775149729.0000,2,0.513113,1,-1.499300,0
2011-01-17,sh.600000,4.4134575400,4.4576942000,4.2228996200,4.2909560200,4.4713054800,85126256,1090522990.0000,2,0.741579,1,-4.033500,0
2011-01-18,sh.600000,4.2773447400,4.3488039600,4.2603306400,4.3181785800,4.2909560200,39880973,505302336.0000,2,0.347424,1,0.634400,0
2011-01-19,sh.600000,4.3215814000,4.3658180600,4.2807475600,4.3624152400,4.3181785800,39144999,497010146.0000,2,0.341012,1,1.024400,0
2011-01-20,sh.600000,4.3454011400,4.3590124200,4.2433165400,4.2467193600,4.3624152400,45362809,571579155.0000,2,0.395179,1,-2.652100,0
2011-01-21,sh.600000,4.2501221800,4.4849167600,4.2467193600,4.3385955000,4.2467193600,69001299,884042057.0000,2,0.601106,1,2.163500,0
2011-01-24,sh.600000,4.3283870400,4.3726237000,4.2909560200,4.3351926800,4.3385955000,40025944,509605615.0000,2,0.348687,1,-0.078400,0
2011-01-25,sh.600000,4.3385955000,4.4066519000,4.3113729400,4.3794293400,4.3351926800,49402537,634358540.0000,2,0.430371,1,1.020400,0
2011-01-26,sh.600000,4.3896378000,4.3998462600,4.3624152400,4.3828321600,4.3794293400,32488433,418118023.0000,2,0.283023,1,0.077700,0
2011-01-27,sh.600000,4.3385955000,4.3794293400,4.2569278200,4.3658180600,4.3828321600,69649478,885350180.0000,2,0.606752,1,-0.388200,0
2011-01-28,sh.600000,4.3454011400,4.3692208800,4.2841503800,4.3181785800,4.3658180600,53000399,672289551.0000,2,0.461714,1,-1.091200,0
